,iShares S&P 500 Inf Tech Sector UCITS ETF USD AccI,Invesco STOXX Europe 600 UCITS ETF AccH,iShares Core S&P 500 UCITS ETF USD (Acc)H,Vanguard FTSE All-World UCITS ETF USD AccI,iShares MSCI Poland UCITS ETF USD (Acc),Xtrackers Spain UCITS ETF 1C,iShares MSCI India UCITS ETF USD Acc (EUR),iShares Core MSCI Japan IMI UCITS ETF USD Acc,iShares Healthcare Innovation UCITS ETF USD A,iShares FTSE MIB UCITS ETF EUR (Acc),iShares Core MSCI Europe UCITS ETF EUR (Acc),Amundi Euro Stoxx Banks UCITS ETF Acc,HSBC MSCI CHINA,ISHARES EMIM,SPDR Russell 2000 US Small Cap UCITS ETF,Invesco Physical Gold ETC,Xtrackers S&P 500 Equal Weight UCITS ETF,Vanguard Global Aggregate Bond ETF EUR Hgd Acc,iShares Bitcoin ETP,iShares Core EURO STOXX 50 UCITS ETF EUR (Acc),HSBC Hang Seng Tech UCITS ETF HKD,iMGP DBi Managed Futures R EUR ETF
Date,QDVEDE,SC0CDE,SXR8DE,VWCEDE,IBCJDE,XESPDE,QDV5DE,EUNNDE,HEALAS,CSMIBMI,IMAEAS,LYBKDE,H4ZPDE,IS3NDE,ZPRRDE,SGLDMI,XDEWDE,VAGFDE,IB1TDE,SXRTDE,H4ZXDE,DBMFEPA
1/4/2021,13.12,88.22,304.35,81.01,14.33,21.53,5.17,41.12,,87.17,72.02,69.5,8.1,29.42,43.91,153.34,52.93,26.52,,117.58,9.62,
1/5/2021,13.12,88.22,305.07,81.31,14.41,21.59,5.22,41.17,,86.59,72.02,69.54,8.27,29.74,44.53,153.62,53.22,26.49,,117.34,9.7,
1/6/2021,13.14,89.47,309.77,82.35,14.7,22.17,5.22,41.62,,88.81,72.02,73.45,8.29,29.83,46.38,150.38,54.73,26.37,,119.82,9.7,
1/7/2021,13.28,89.79,312.8,82.92,14.88,22.25,5.21,41.7,,89.02,72.02,74.74,8.17,29.86,47.17,151.08,55.19,26.37,,119.78,9.54,
1/8/2021,13.36,90.4,314.01,83.67,15.01,22.31,5.32,42.43,,88.65,72.02,73.87,8.45,30.67,47.33,147.03,55.36,26.36,,119.94,9.91,
1/11/2021,13.45,89.7,316.31,83.93,14.91,22.17,5.35,42.49,,88.57,72.02,73.35,8.43,30.67,47.49,147.19,55.75,26.3,,119.72,9.88,
1/12/2021,13.34,89.77,315.75,83.97,14.7,22.17,5.42,42.49,,88.49,72.02,74.1,8.51,30.89,48.4,146.95,56.16,26.27,,119.16,10.01,
1/13/2021,13.44,89.89,316.2,84.14,14.54,22.24,5.39,42.76,,88.83,72.02,73.47,8.49,30.84,48.25,148.09,55.96,26.31,,119.68,9.93,
1/14/2021,13.44,90.57,317.25,84.68,14.55,22.34,5.42,43.23,,88.57,72.02,73.46,8.68,31.42,49.13,147.31,56.37,26.36,,120.44,10.22,
1/15/2021,13.33,89.69,315.2,84.01,14.29,22.03,5.36,42.68,,87.34,72.02,72.21,8.65,31.08,48.53,146.4,55.98,26.34,,118.86,10.08,
1/18/2021,13.26,89.8,315.55,84.16,14.51,22.02,5.3,42.79,,88.09,72.02,72.85,8.85,31.15,48.97,147.45,56.19,26.37,,119.26,10.55,
1/19/2021,13.26,89.69,315.2,84.18,14.19,21.9,5.33,42.66,,87.83,72.02,71.67,8.92,31.35,48.85,147.29,56.13,26.37,,119.36,10.8,
1/20/2021,13.65,90.35,320.2,85.3,14.2,21.9,5.43,42.9,,88.56,72.02,72,9.17,31.83,49.38,149.3,56.44,26.36,,119.94,11.32,
1/21/2021,13.72,90.29,320.25,85.28,13.97,21.63,5.41,42.63,,87.96,72.02,71.48,9.15,31.85,48.85,148.73,56.19,26.3,,119.94,11.26,
1/22/2021,13.71,89.82,318.36,84.62,13.98,21.44,5.35,42.53,,86.36,72.02,70.04,9.11,31.45,48.62,147.48,55.69,26.29,,119.4,11.2,
1/25/2021,13.76,89,318.31,84.65,13.89,21.01,5.23,42.63,,85.02,72.02,67.43,9.36,31.7,49.03,147.86,55.53,26.34,,117.74,11.56,
1/26/2021,13.85,89.61,319.94,84.89,14.16,21.14,5.24,42.88,,86.19,72.02,68.78,9.21,31.48,49.1,147.7,55.57,26.34,,118.86,11.51,
1/27/2021,13.75,88.59,316.07,83.9,13.81,20.82,5.18,42.59,,84.79,72.02,66.79,9.08,31.08,48.76,147.94,54.98,26.36,,116.26,11.18,
1/28/2021,13.78,88.73,317.6,83.93,14.21,21.08,5.22,42.4,,85.68,72.02,68.19,8.95,30.97,48.2,148.12,55.16,26.34,,117.9,10.87,
1/29/2021,13.42,86.91,310.56,82.23,13.92,20.58,5.05,41.68,,84.53,72.02,66.5,8.85,30.35,47.87,148.18,54.24,26.31,,116.32,10.78,
2/1/2021,13.69,88.11,314.3,83.39,14.2,20.68,5.25,42.04,,85.46,72.02,67.03,9.05,31.01,47.99,149.35,54.51,26.32,,116.84,11.24,
2/2/2021,13.95,89.33,322.17,85.22,14.2,21.22,5.42,42.6,,86.24,72.02,69.38,9.23,31.77,49.54,147.94,56.06,26.27,,118.9,11.53,
2/3/2021,13.97,89.5,321.74,85.34,14.1,21.37,5.48,42.97,,88.14,72.02,70.07,9.36,31.95,49.27,147.87,55.76,26.25,,119.28,11.7,
2/4/2021,14.1,90.08,325.22,86.04,13.9,21.73,5.51,43.17,,89.69,72.02,72,9.35,31.93,50.85,144.69,56.73,26.23,,120.4,11.44,
2/5/2021,14.12,90.07,326.45,86.36,14.17,21.94,5.51,43.38,,90.47,72.02,73.28,9.36,32.13,51.38,145.69,57.04,26.23,,120.92,11.35,
2/8/2021,14.18,90.27,327.02,86.63,14.09,21.96,5.58,44.05,,91.94,72.02,74.21,9.38,32.19,52.27,147.6,57.24,26.19,,121.8,11.26,
